mass_x,mass_y,tag,expected_m2sigma,expected_m1sigma,expected,expected_p1sigma,expected_p2sigma,observed
650,350,RunIII,0.07972,0.10707,0.15117,0.21565,0.29858,
750,350,RunIII,0.04601,0.06204,0.08789,0.12678,0.17672,
850,350,RunIII,0.03024,0.04073,0.0582,0.08442,0.11877,
900,350,RunIII,0.02811,0.03806,0.0541,0.07804,0.10912,
600,400,RunIII,0.12285,0.16435,0.23125,0.32804,0.44967,
750,400,RunIII,0.05831,0.07801,0.10977,0.15658,0.21542,
850,400,RunIII,0.03507,0.04729,0.06699,0.0961,0.13351,
900,400,RunIII,0.02995,0.04039,0.05723,0.08255,0.11542,
950,400,RunIII,0.02283,0.03091,0.04395,0.06374,0.08913,
700,450,RunIII,0.09504,0.12715,0.17891,0.25592,0.35383,
800,450,RunIII,0.0577,0.07688,0.10781,0.15337,0.2113,
900,450,RunIII,0.036,0.04817,0.06777,0.09668,0.13343,
950,450,RunIII,0.02944,0.03971,0.05625,0.08069,0.1121,
750,500,RunIII,0.08176,0.10938,0.15391,0.21955,0.30399,
850,500,RunIII,0.05412,0.07219,0.10039,0.14161,0.19339,
950,500,RunIII,0.03642,0.04872,0.06855,0.09752,0.13436,
900,550,RunIII,0.05643,0.07528,0.10469,0.14683,0.19976,
800,600,RunIII,0.10781,0.1431,0.2,0.28211,0.38528,
850,650,RunIII,0.09644,0.12621,0.17266,0.23804,0.31987,
900,650,RunIII,0.07349,0.09804,0.13633,0.19121,0.25926,
900,700,RunIII,0.08342,0.10958,0.15039,0.20734,0.27862,
1000,700,RunIII,0.04641,0.06259,0.08867,0.1279,0.17718,
